                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        0                        7  0.9976097172039282E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.3946838072144648E-001  0.8097133467385732E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4037332708911685E-001  0.8283009691603185E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4081214567886765E-001  0.8373294156733581E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4124248681605570E-001  0.8461929273036387E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4221974313579228E-001  0.8663575725677738E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4315747405035585E-001  0.8857582439910308E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4361278517066520E-001  0.8951965395886637E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4449851818652243E-001  0.9135894835868642E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4577053536719854E-001  0.9400729181005424E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4658458730289336E-001  0.9570600452584566E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4737407034049466E-001  0.9735605734367285E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4814089309162677E-001  0.9896100159869367E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4854962661798395E-001  0.9981730635913141E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4895238772315568E-001  0.1006616316449151E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4974091346763506E-001  0.1023160940593351E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
