                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        0                        5  0.7638047929388963E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003  0.1183483015274649E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8985355336150906E-003  0.1491102201867709E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1132089283040820E-002  0.1878687721679013E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1426354229761671E-002  0.2367032807569012E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1797116076180994E-002  0.2982344440619627E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2264269175885016E-002  0.3757658996074264E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2852890066624421E-002  0.4734635261014384E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3594595656787967E-002  0.5965827823028080E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4310613271404873E-002  0.7154539708147827E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4845359651442472E-002  0.8042430591176496E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5657696245502804E-002  0.9391475937516332E-002 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6810332129685205E-002  0.1130626147841068E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7588488093606408E-002  0.1259941686511848E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8366644057527611E-002  0.1389299735600049E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9385314974818423E-002  0.1558711951808401E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1040398589210923E-001  0.1728214733278784E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1171476086814543E-001  0.1946468447757955E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1302553584418163E-001  0.2164901992319817E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1446018013167572E-001  0.2404216222006248E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1589482441916982E-001  0.2643813517257735E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1729506089593216E-001  0.2877936252512927E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1869529737269449E-001  0.3112328900123051E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2009553384945683E-001  0.3347005764883349E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2082899056809246E-001  0.3470053644158280E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2156244728672809E-001  0.3593192777954556E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2285668774265139E-001  0.3810726788980138E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2402206014039376E-001  0.4006889562880651E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2508691058860281E-001  0.4186384150173569E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2584362984580366E-001  0.4314092195436936E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2660034910300451E-001  0.4441931201256494E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2796375434824161E-001  0.4672602511208958E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2937457257037916E-001  0.4911773325700007E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3066646190291267E-001  0.5131228752572660E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3186224053576833E-001  0.5334750899778708E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3242942460325468E-001  0.5431421555451662E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3297842305425909E-001  0.5525078910699377E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3422596292082628E-001  0.5738231766471841E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3539335388901379E-001  0.5938108432798757E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3649275902354505E-001  0.6126751243824109E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3753363573247148E-001  0.6304826483034975E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3852348548313605E-001  0.6472308802995796E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3946838072144648E-001  0.6631849486606038E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4037332708911685E-001  0.6785099779224131E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4081214567886765E-001  0.6859562462579918E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4124248681605570E-001  0.6932681246046511E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4221974313579228E-001  0.7099089243714657E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4315747405035585E-001  0.7259274652155261E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4361278517066520E-001  0.7337233447758407E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4449851818652243E-001  0.7489213159345186E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4577053536719854E-001  0.7708179503817307E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4658458730289336E-001  0.7848716366764476E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4737407034049466E-001  0.7985293928649020E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4814089309162677E-001  0.8118201925462058E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4854962661798395E-001  0.8189140237703514E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4895238772315568E-001  0.8259104351161202E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4974091346763506E-001  0.8396252802983017E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5050815728857355E-001  0.8529902165606280E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5125562313258406E-001  0.8660287360072134E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5201874525977276E-001  0.8793572301322827E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5276302054294915E-001  0.8923716007533285E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5348968389214141E-001  0.9050910344729469E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5384676004846130E-001  0.9113458703065543E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5419984125808142E-001  0.9175309599934224E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5492265167716751E-001  0.9301811508312439E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5562969112029594E-001  0.9425640131276330E-001 -0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
