                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        0                       48  0.6114149619351993E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.2082899056809246E-001 -0.4022984804486079E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2156244728672809E-001 -0.4142512698080129E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2285668774265139E-001 -0.4347908183517873E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2402206014039376E-001 -0.4526570408194550E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2508691058860281E-001 -0.4684384739516281E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2584362984580366E-001 -0.4793265606392159E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2660034910300451E-001 -0.4899352293055690E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2796375434824161E-001 -0.5083219165447367E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2937457257037916E-001 -0.5263278272097325E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3066646190291267E-001 -0.5418706914883983E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3186224053576833E-001 -0.5554240817887252E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3242942460325468E-001 -0.5615656006010976E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3297842305425909E-001 -0.5673311743197740E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3422596292082628E-001 -0.5797668945839257E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3539335388901379E-001 -0.5905481746412536E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3649275902354505E-001 -0.5999297854970594E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3753363573247148E-001 -0.6080367063510647E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3852348548313605E-001 -0.6149305249831952E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3946838072144648E-001 -0.6208710996489706E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4037332708911685E-001 -0.6260255223036875E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4081214567886765E-001 -0.6283335337099725E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4124248681605570E-001 -0.6304744616445688E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4221974313579228E-001 -0.6348830158619155E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4315747405035585E-001 -0.6385176844764839E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4361278517066520E-001 -0.6400701410758644E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4449851818652243E-001 -0.6426879123944222E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4577053536719854E-001 -0.6455065410429623E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4658458730289336E-001 -0.6467209697452655E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4737407034049466E-001 -0.6474547914644949E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4814089309162677E-001 -0.6477459152080365E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4854962661798395E-001 -0.6477303837139579E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4895238772315568E-001 -0.6475985192667338E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4974091346763506E-001 -0.6470042628293934E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5050815728857355E-001 -0.6459971822007162E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5125562313258406E-001 -0.6446079926886948E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5201874525977276E-001 -0.6427730787727935E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5276302054294915E-001 -0.6405773198450658E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
