                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        0                        3  0.5504657142699490E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003  0.7394047091409732E-003  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8985355336150906E-003  0.9315963288588991E-003  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1132089283040820E-002  0.1173748975508124E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1426354229761671E-002  0.1478854123494032E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1797116076180994E-002  0.1863286086133784E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2264269175885016E-002  0.2347686962523005E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2852890066624421E-002  0.2958087849901751E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3594595656787967E-002  0.3727331169380127E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4310613271404873E-002  0.4470048054891828E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4845359651442472E-002  0.5024821143270099E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5657696245502804E-002  0.5867755435910298E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6810332129685205E-002  0.7064238986520826E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7588488093606408E-002  0.7872328410121894E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8366644057527611E-002  0.8680721167699322E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9385314974818423E-002  0.9739486516981354E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1040398589210923E-001  0.1079889795212119E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1171476086814543E-001  0.1216314028715530E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1302553584418163E-001  0.1352867290117299E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1446018013167572E-001  0.1502495375901676E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1589482441916982E-001  0.1652325167158398E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1729506089593216E-001  0.1798757781503402E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1869529737269449E-001  0.1945387601415513E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2009553384945683E-001  0.2092226035766228E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2082899056809246E-001  0.2169230798809399E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2156244728672809E-001  0.2246302148627788E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2285668774265139E-001  0.2382478369124293E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2402206014039376E-001  0.2505304050194473E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2508691058860281E-001  0.2617717451347732E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2584362984580366E-001  0.2697712896483319E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2660034910300451E-001  0.2777803124235241E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2796375434824161E-001  0.2922350581279053E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2937457257037916E-001  0.3072271793179958E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3066646190291267E-001  0.3209879498733550E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3186224053576833E-001  0.3337536513924023E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3242942460325468E-001  0.3398186121152585E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3297842305425909E-001  0.3456954057634971E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3422596292082628E-001  0.3590736009539899E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3539335388901379E-001  0.3716228634306552E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3649275902354505E-001  0.3834707856598197E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3753363573247148E-001  0.3946588076569367E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3852348548313605E-001  0.4051850558973624E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
