                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        0                       16  0.2078269281402901E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003 -0.3252475188784045E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8985355336150906E-003 -0.4097859389345192E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1132089283040820E-002 -0.5162981989396384E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1426354229761671E-002 -0.6504958954717610E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1797116076180994E-002 -0.8195755644240197E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2264269175885016E-002 -0.1032604838895139E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2852890066624421E-002 -0.1301009417518911E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3594595656787967E-002 -0.1639186238796404E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4310613271404873E-002 -0.1965605109574519E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4845359651442472E-002 -0.2209350817027044E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5657696245502804E-002 -0.2579564194937269E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6810332129685205E-002 -0.3104718193991056E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7588488093606408E-002 -0.3459141371990190E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8366644057527611E-002 -0.3813460464219529E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9385314974818423E-002 -0.4277118768654113E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1040398589210923E-001 -0.4740556494666578E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1171476086814543E-001 -0.5336511955498951E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1302553584418163E-001 -0.5931987312906532E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1446018013167572E-001 -0.6583141763054845E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1589482441916982E-001 -0.7233624271716058E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1729506089593216E-001 -0.7867712110702835E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1869529737269449E-001 -0.8500878345043213E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
