                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        0                        6  0.8809295284508746E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003 -0.1329076096049550E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8985355336150906E-003 -0.1674538393311754E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1132089283040820E-002 -0.2109803982575703E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1426354229761671E-002 -0.2658223497790097E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1797116076180994E-002 -0.3349226718218289E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2264269175885016E-002 -0.4219911758642940E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2852890066624421E-002 -0.5317057444663363E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3594595656787967E-002 -0.6699673929618713E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4310613271404873E-002 -0.8034566168898817E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4845359651442472E-002 -0.9031629971176460E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5657696245502804E-002 -0.1054652338797488E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6810332129685205E-002 -0.1269664154209893E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7588488093606408E-002 -0.1414867860578306E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8366644057527611E-002 -0.1560114646754533E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9385314974818423E-002 -0.1750327518883875E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
