                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        0                       31  0.3956534910743093E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003  0.6225154796022348E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8985355336150906E-003  0.7843071423596049E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1132089283040820E-002  0.9881405472685472E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1426354229761671E-002  0.1244931010895916E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1797116076180994E-002  0.1568419268679092E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2264269175885016E-002  0.1975893779744504E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2852890066624421E-002  0.2489089163003296E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3594595656787967E-002  0.3135292515628334E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4310613271404873E-002  0.3758508166840428E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4845359651442472E-002  0.4223484922498429E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5657696245502804E-002  0.4928964276599503E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6810332129685205E-002  0.5927881807990259E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7588488093606408E-002  0.6600648267436640E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8366644057527611E-002  0.7271938787961661E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9385314974818423E-002  0.8148231287576949E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1040398589210923E-001  0.9021395416019717E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1171476086814543E-001  0.1013977046643694E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1302553584418163E-001  0.1125163377163041E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1446018013167572E-001  0.1246028118279976E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1589482441916982E-001  0.1365937053353896E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1729506089593216E-001  0.1481942336017223E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1869529737269449E-001  0.1596829463513341E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2009553384945683E-001  0.1710502899664913E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2082899056809246E-001  0.1769531486414715E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2156244728672809E-001  0.1828190706474238E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2285668774265139E-001  0.1930764515916595E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2402206014039376E-001  0.2022056590813215E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2508691058860281E-001  0.2104542617849233E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2584362984580366E-001  0.2162596666125951E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2660034910300451E-001  0.2220165869181731E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2796375434824161E-001  0.2322618251362277E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2937457257037916E-001  0.2426832385262339E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3066646190291267E-001  0.2520574244089349E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3186224053576833E-001  0.2605837201025448E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3242942460325468E-001  0.2645755624926305E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3297842305425909E-001  0.2684065663488601E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3422596292082628E-001  0.2769891048202504E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3539335388901379E-001  0.2848605276702773E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3649275902354505E-001  0.2921284118233666E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3753363573247148E-001  0.2988357573988310E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3852348548313605E-001  0.3049935391174374E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
